week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
01,4,2,0,0,0,0,0,0,0,0
02,47,8.3,2,0.4,0,0,0,0,0,0
03,79,4.7,11,0.7,0,0,0,0,0,0
04,273,10.2,12,0.4,0,0,0,0,0,0
05,549,17.8,22,0.7,0,0,0,0,0,0
06,698,20.8,19,0.6,0,0,0,0,6,0.2
07,1197,32.8,20,0.5,0,0,0,0,6,0.2
08,1886,44.1,33,0.8,0,0,0,0,2,0
09,1953,52.7,68,1.8,5,0.1,0,0,8,0.2
10,2497,64.7,71,1.8,1,0,0,0,4,0.1
11,3054,74.3,48,1.2,2,0,0,0,8,0.2
12,2915,80.3,56,1.5,2,0.1,1,0,0,0
13,3263,87,49,1.3,0,0,0,0,8,0.2
14,3329,88.5,74,2,3,0.1,1,0,10,0.3
15,3652,88.9,83,2,8,0.2,3,0.1,11,0.3
16,3869,91.1,41,1,18,0.4,15,0.4,14,0.3
17,1860,91.7,12,0.6,12,0.6,19,0.9,10,0.5
