week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
01,5,2.2,0,0,0,0,0,0
02,52,8.5,6,1,0,0,0,0
03,96,5.4,12,0.7,0,0,0,0
04,282,10.4,13,0.5,0,0,0,0
05,554,17.8,24,0.8,0,0,0,0
06,712,21,19,0.6,0,0,6,0.2
07,1218,33.1,21,0.6,0,0,6,0.2
08,1891,44.1,34,0.8,0,0,2,0
09,1965,52.8,69,1.9,0,0,8,0.2
10,2506,64.8,72,1.9,0,0,4,0.1
11,3059,74.3,49,1.2,0,0,8,0.2
12,2936,80.3,56,1.5,1,0,0,0
13,3293,87.1,49,1.3,0,0,8,0.2
14,3519,88.8,74,1.9,2,0.1,9,0.2
15,3796,88.7,85,2,5,0.1,11,0.3
16,4264,91,45,1,30,0.6,17,0.4
17,3303,90.2,28,0.8,55,1.5,38,1
18,4128,87.1,117,2.5,86,1.8,43,0.9
19,2819,88.2,40,1.3,78,2.4,14,0.4
20,1336,93.4,11,0.8,30,2.1,10,0.7
