week,B.1.1.7_count,B.1.1.7_proportion,B.1.351_count,B.1.351_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.617.2_count,B.1.617.2_proportion,P.1_count,P.1_proportion
01,5,2.2,0,0,0,0,0,0,0,0
02,51,8.6,2,0.3,0,0,0,0,0,0
03,91,5.3,12,0.7,0,0,0,0,0,0
04,282,10.5,13,0.5,0,0,0,0,0,0
05,553,17.8,24,0.8,0,0,0,0,0,0
06,708,21,19,0.6,0,0,0,0,6,0.2
07,1213,33,21,0.6,0,0,0,0,6,0.2
08,1888,44.1,33,0.8,0,0,0,0,2,0
09,1965,52.8,69,1.9,1,0,0,0,8,0.2
10,2505,64.7,72,1.9,1,0,0,0,4,0.1
11,3058,74.3,48,1.2,2,0,0,0,8,0.2
12,2936,80.3,56,1.5,2,0.1,1,0,0,0
13,3293,87.1,49,1.3,0,0,0,0,8,0.2
14,3515,88.8,74,1.9,3,0.1,2,0.1,9,0.2
15,3795,89,85,2,5,0.1,5,0.1,11,0.3
16,4260,91.1,45,1,11,0.2,30,0.6,17,0.4
17,3274,90.3,27,0.7,16,0.4,51,1.4,38,1
18,3765,86.9,102,2.4,18,0.4,82,1.9,37,0.9
19,1611,90,19,1.1,0,0,40,2.2,6,0.3
